AgeConducteur,SexeConducteur,BonusMalus,FrequencePaiement,AgeVehicule,ClasseVehicule,PuissanceVehicule,CarburantVehicule,UsageVehicule,Garage,Region,PrimeCommerciale
33.0,F,51.0,Monthly,10.0,Cheap,P14,Regular,Professional,Opened collective parking,Paris area,371.0
37.0,F,54.0,Half-yearly,9.0,Cheap,P9,Regular,Private+trip to office,Street,Center,246.5
30.0,F,80.0,Half-yearly,9.0,Cheap,P10,Diesel,Private+trip to office,Closed zbox,South West,376.1
64.0,M,50.0,Annual,7.0,Medium high,P15,Diesel,Private+trip to office,Closed zbox,South West,553.5
57.0,M,50.0,Half-yearly,8.0,Expensive,P16,Regular,Private+trip to office,Closed collective parking,Headquarters,737.3
49.0,F,50.0,Annual,1.0,Medium high,P14,Diesel,Private+trip to office,Closed zbox,Center,682.2
43.0,M,80.0,Half-yearly,7.0,Cheap,P11,Regular,Private+trip to office,Opened collective parking,Paris area,828.5
50.0,F,85.0,Half-yearly,13.0,Cheap,P12,Regular,Private+trip to office,Street,Paris area,360.1
32.0,M,50.0,Annual,7.0,Cheap,P11,Regular,Private+trip to office,Closed zbox,Center,266.2
25.0,F,71.0,Annual,7.0,Cheap,P11,Diesel,Professional,Street,Center,652.6
31.0,M,50.0,Half-yearly,16.0,Cheap,P8,Regular,Private+trip to office,Closed zbox,Center,131.5
35.0,F,57.99999999999999,Half-yearly,7.0,Cheap,P12,Diesel,Private+trip to office,Closed zbox,Center,308.2
51.0,M,59.0,Half-yearly,4.0,Medium high,P15,Diesel,Private+trip to office,Closed zbox,Paris area,971.6
65.0,F,50.0,Annual,3.0,Cheap,P10,Regular,Private+trip to office,Closed zbox,Headquarters,265.4
50.0,M,50.0,Annual,11.0,Cheap,P10,Diesel,Private+trip to office,Closed zbox,Center,158.2
43.0,M,50.0,Half-yearly,3.0,Cheap,P9,Regular,Private+trip to office,Closed zbox,Center,266.4
32.0,F,72.0,Half-yearly,3.0,Cheap,P9,Regular,Private+trip to office,Closed collective parking,South West,486.1
36.0,F,85.0,Monthly,11.0,Cheap,P13,Regular,Private+trip to office,Closed collective parking,Headquarters,383.0
41.0,M,50.0,Annual,7.0,Medium low,P11,Diesel,Private+trip to office,Closed collective parking,Headquarters,279.0
60.0,M,62.0,Annual,12.0,Cheap,P7,Regular,Private+trip to office,Closed collective parking,Headquarters,218.1
26.0,M,72.0,Half-yearly,7.0,Cheap,P10,Diesel,Private+trip to office,Closed collective parking,Center,314.5
53.0,F,50.0,Half-yearly,5.0,Medium,P14,Diesel,Private+trip to office,Street,Headquarters,640.4
32.0,M,50.0,Quarterly,5.0,Cheap,P12,Regular,Private+trip to office,Closed zbox,Headquarters,619.2
19.0,F,100.0,Annual,9.0,Cheap,P7,Regular,Private+trip to office,Closed collective parking,Center,368.6
23.0,F,85.0,Half-yearly,9.0,Cheap,P8,Regular,Private+trip to office,Opened collective parking,Center,418.9
26.0,F,76.0,Half-yearly,6.0,Cheap,P12,Regular,Private+trip to office,Opened collective parking,Headquarters,776.5
77.0,M,50.0,Annual,14.0,Cheap,P10,Regular,Private+trip to office,Street,Center,160.8
27.0,F,72.0,Half-yearly,6.0,Cheap,P9,Regular,Private+trip to office,Street,Center,410.1
24.0,F,75.0,Half-yearly,8.0,Cheap,P11,Regular,Private+trip to office,Closed zbox,Center,315.4
22.0,M,100.0,Half-yearly,9.0,Cheap,P11,Regular,Private+trip to office,Closed collective parking,Center,802.0
38.0,M,90.0,Quarterly,2.0,Cheap,P10,Regular,Private+trip to office,Closed zbox,Paris area,1269.2
35.0,M,69.0,Quarterly,1.0,Medium,P14,Regular,Private+trip to office,Closed collective parking,Headquarters,1148.8
68.0,M,68.0,Half-yearly,5.0,Cheap,P12,Regular,Private+trip to office,Closed zbox,Paris area,537.3
29.0,M,90.0,Half-yearly,13.0,Cheap,P13,Regular,Private+trip to office,Street,Center,657.9
46.0,M,54.0,Half-yearly,4.0,Cheap,P12,Diesel,Private+trip to office,Closed zbox,Center,359.5
40.0,M,76.0,Half-yearly,12.0,Cheap,P11,Diesel,Private+trip to office,Closed collective parking,Center,378.0
37.0,M,72.0,Annual,4.0,Cheap,P11,Diesel,Professional,Closed zbox,Headquarters,450.5
49.0,F,50.0,Annual,0.0,Medium low,P13,Diesel,Private+trip to office,Closed zbox,Center,503.3
58.0,M,50.0,Annual,6.0,Cheap,P8,Regular,Private+trip to office,Closed zbox,Headquarters,194.3
28.0,F,72.0,Half-yearly,9.0,Cheap,P14,Regular,Private+trip to office,Closed collective parking,Headquarters,314.1
51.0,M,50.0,Half-yearly,9.0,Cheap,P14,Regular,Private+trip to office,Closed zbox,South West,300.8
47.0,M,50.0,Annual,12.0,Cheap,P10,Regular,Private+trip to office,Opened collective parking,Center,156.0
31.0,M,80.0,Half-yearly,7.0,Cheap,P10,Diesel,Private+trip to office,Opened collective parking,South West,470.6
31.0,M,85.0,Annual,10.0,Cheap,P10,Diesel,Private+trip to office,Closed collective parking,Headquarters,444.5
33.0,M,64.0,Annual,16.0,Cheap,P9,Regular,Private+trip to office,Street,Center,162.0
28.0,F,76.0,Half-yearly,3.0,Cheap,P8,Regular,Private+trip to office,Street,Headquarters,386.6
47.0,M,72.0,Half-yearly,14.0,Medium low,P14,Diesel,Private+trip to office,Street,Paris area,748.0
60.0,M,50.0,Annual,21.0,Cheap,P8,Regular,Private+trip to office,Closed zbox,South West,147.6
37.0,M,95.0,Quarterly,1.0,Cheap,P10,Regular,Private+trip to office,Closed collective parking,Center,710.1
49.0,M,90.0,Half-yearly,4.0,Cheap,P8,Regular,Private+trip to office,Street,Paris area,461.9
38.0,M,50.0,Half-yearly,5.0,Cheap,P12,Diesel,Private+trip to office,Closed collective parking,Paris area,208.6
37.0,M,50.0,Half-yearly,9.0,Cheap,P13,Regular,Private+trip to office,Closed zbox,Center,239.4
35.0,M,50.0,Half-yearly,9.0,Medium,P13,Diesel,Private+trip to office,Opened collective parking,Center,368.3
37.0,M,80.0,Quarterly,3.0,Cheap,P12,Regular,Private+trip to office,Closed collective parking,Headquarters,1124.4
45.0,M,100.0,Half-yearly,7.0,Medium low,P13,Diesel,Private+trip to office,Street,Center,642.8
44.0,M,85.0,Annual,10.0,Cheap,P11,Regular,Private+trip to office,Opened collective parking,Paris area,231.5
28.0,M,101.0,Monthly,2.0,Medium,P13,Regular,Private+trip to office,Closed zbox,Paris area,1848.2
29.0,F,56.99999999999999,Annual,9.0,Cheap,P11,Regular,Private+trip to office,Closed zbox,Center,171.6
63.0,M,56.99999999999999,Annual,11.0,Cheap,P8,Regular,Private+trip to office,Street,South West,241.3
37.0,M,68.0,Half-yearly,12.0,Cheap,P13,Regular,Private+trip to office,Street,Headquarters,363.7
28.0,F,73.0,Half-yearly,6.0,Cheap,P8,Regular,Private+trip to office,Opened collective parking,South West,459.2
23.0,F,112.0,Annual,9.0,Cheap,P9,Regular,Private+trip to office,Opened collective parking,Center,532.5
37.0,F,50.0,Annual,10.0,Cheap,P12,Regular,Private+trip to office,Closed collective parking,South West,291.9
70.0,F,50.0,Half-yearly,9.0,Cheap,P8,Regular,Private+trip to office,Street,Center,207.5
28.0,F,67.0,Half-yearly,4.0,Expensive,P16,Diesel,Private+trip to office,Closed zbox,South West,1193.7
28.0,F,90.0,Half-yearly,7.0,Cheap,P12,Diesel,Private+trip to office,Street,Center,720.5
38.0,M,55.00000000000001,Half-yearly,3.0,Cheap,P12,Diesel,Private+trip to office,Closed zbox,Center,529.4
54.0,M,50.0,Half-yearly,3.0,Cheap,P9,Regular,Private+trip to office,Closed zbox,Center,396.8
46.0,M,50.0,Half-yearly,3.0,Medium,P13,Diesel,Professional,Opened collective parking,Center,652.4
39.0,M,50.0,Half-yearly,1.0,Medium low,P14,Regular,Private+trip to office,Closed zbox,South West,593.5
29.0,M,80.0,Quarterly,0.0,Cheap,P12,Regular,Private+trip to office,Street,Center,1032.8
67.0,M,68.0,Annual,12.0,Cheap,P11,Diesel,Private+trip to office,Closed zbox,Headquarters,387.5
67.0,M,50.0,Annual,6.0,Cheap,P12,Diesel,Private+trip to office,Street,Headquarters,335.0
23.0,M,95.0,Half-yearly,15.0,Cheap,P9,Regular,Private+trip to office,Closed zbox,Headquarters,540.0
35.0,F,50.0,Half-yearly,10.0,Cheap,P9,Regular,Private+trip to office,Closed zbox,South West,191.0
31.0,M,56.99999999999999,Half-yearly,8.0,Medium low,P14,Regular,Private+trip to office,Closed zbox,Center,322.2
39.0,F,50.0,Half-yearly,13.0,Cheap,P8,Regular,Professional,Closed zbox,Center,175.9
42.0,M,56.99999999999999,Annual,9.0,Cheap,P10,Diesel,Private+trip to office,Closed collective parking,South West,193.2
24.0,F,85.0,Half-yearly,9.0,Cheap,P10,Regular,Private+trip to office,Closed zbox,Headquarters,392.5
72.0,M,50.0,Annual,5.0,Medium low,P12,Regular,Private+trip to office,Closed collective parking,Paris area,453.3
47.0,F,83.0,Annual,5.0,Cheap,P9,Diesel,Private+trip to office,Street,Center,495.5
36.0,M,64.0,Annual,7.0,Expensive,P16,Regular,Private+trip to office,Closed zbox,Paris area,473.2
38.0,M,56.99999999999999,Half-yearly,6.0,Cheap,P11,Diesel,Private+trip to office,Closed zbox,South West,562.3
31.0,F,76.0,Half-yearly,13.0,Cheap,P9,Regular,Private+trip to office,Opened collective parking,Center,306.8
28.0,F,60.0,Half-yearly,1.0,Cheap,P8,Regular,Private+trip to office,Closed collective parking,Center,359.2
70.0,F,75.0,Annual,0.0,Medium low,P12,Regular,Private+trip to office,Opened collective parking,Headquarters,953.0
56.0,F,50.0,Annual,6.0,Cheap,P12,Diesel,Private+trip to office,Closed collective parking,Headquarters,418.4
35.0,M,80.0,Half-yearly,16.0,Cheap,P11,Diesel,Private+trip to office,Street,South West,351.7
43.0,M,50.0,Annual,11.0,Medium low,P12,Diesel,Private+trip to office,Closed zbox,Center,184.5
32.0,F,53.0,Half-yearly,11.0,Cheap,P9,Regular,Private+trip to office,Closed zbox,Paris area,214.6
47.0,M,67.0,Half-yearly,14.0,Cheap,P8,Regular,Private+trip to office,Closed collective parking,Center,250.3
22.0,M,90.0,Annual,9.0,Cheap,P10,Diesel,Private+trip to office,Opened collective parking,Center,491.4
37.0,M,118.0,Half-yearly,7.0,Cheap,P12,Diesel,Professional,Street,Center,682.4
22.0,F,118.0,Annual,8.0,Cheap,P9,Regular,Private+trip to office,Closed zbox,Center,510.2
33.0,M,50.0,Half-yearly,3.0,Cheap,P11,Regular,Private+trip to office,Opened collective parking,Center,381.8
49.0,M,50.0,Annual,12.0,Cheap,P11,Regular,Private+trip to office,Closed zbox,Center,155.3
49.0,M,80.0,Half-yearly,12.0,Medium high,P16,Regular,Private+trip to office,Street,Headquarters,638.0
31.0,M,56.99999999999999,Half-yearly,3.0,Cheap,P13,Diesel,Private+trip to office,Closed zbox,South West,814.1
36.0,F,50.0,Half-yearly,6.0,Medium,P13,Regular,Private+trip to office,Closed zbox,Paris area,590.4
48.0,M,50.0,Half-yearly,10.0,Medium low,P14,Regular,Private+trip to office,Closed zbox,Center,273.8
54.0,M,50.0,Half-yearly,12.0,Cheap,P7,Regular,Private+trip to office,Closed collective parking,Headquarters,191.8
75.0,M,50.0,Annual,9.0,Cheap,P10,Regular,Private+trip to office,Opened collective parking,Center,199.5
31.0,M,60.0,Annual,9.0,Cheap,P9,Regular,Private+trip to office,Opened collective parking,Center,157.5
36.0,M,50.0,Half-yearly,16.0,Cheap,P7,Regular,Private+trip to office,Closed zbox,South West,149.8
57.0,M,54.0,Half-yearly,1.0,Cheap,P11,Diesel,Private+trip to office,Closed zbox,Center,339.3
33.0,M,52.0,Half-yearly,3.0,Cheap,P12,Diesel,Private+trip to office,Closed zbox,Paris area,449.1
56.0,F,50.0,Half-yearly,10.0,Cheap,P10,Regular,Private+trip to office,Opened collective parking,Headquarters,275.9
33.0,F,60.0,Half-yearly,4.0,Cheap,P14,Diesel,Private+trip to office,Closed collective parking,Center,633.7
25.0,F,90.0,Half-yearly,14.0,Cheap,P9,Regular,Private+trip to office,Closed zbox,Center,419.3
24.0,M,80.0,Annual,10.0,Cheap,P8,Regular,Private+trip to office,Street,Paris area,322.1
50.0,M,55.00000000000001,Annual,2.0,Cheap,P12,Diesel,Private+trip to office,Closed collective parking,Headquarters,461.9
28.0,M,64.0,Half-yearly,8.0,Cheap,P12,Diesel,Private+trip to office,Closed zbox,Center,458.3
36.0,M,90.0,Annual,1.0,Cheap,P12,Diesel,Private+trip to office,Street,Center,832.5
34.0,M,62.0,Half-yearly,11.0,Cheap,P10,Diesel,Private+trip to office,Closed collective parking,Paris area,259.9
49.0,F,50.0,Half-yearly,7.0,Cheap,P10,Diesel,Private+trip to office,Closed zbox,Center,271.8
49.0,M,50.0,Quarterly,15.0,Medium low,P11,Diesel,Private+trip to office,Closed zbox,Center,221.8
31.0,M,60.0,Annual,10.0,Cheap,P11,Regular,Private+trip to office,Street,Center,325.2
27.0,F,55.00000000000001,Half-yearly,1.0,Cheap,P9,Regular,Private+trip to office,Closed zbox,Center,313.5
29.0,M,80.0,Half-yearly,7.0,Cheap,P11,Diesel,Private+trip to office,Opened collective parking,South West,767.2
31.0,M,76.0,Quarterly,16.0,Cheap,P9,Regular,Private+trip to office,Closed zbox,Center,219.7
47.0,M,50.0,Half-yearly,10.0,Medium low,P14,Diesel,Professional,Closed collective parking,Paris area,547.9
35.0,M,50.0,Quarterly,4.0,Cheap,P11,Regular,Private+trip to office,Opened collective parking,South West,502.2
50.0,F,50.0,Annual,8.0,Cheap,P8,Regular,Private+trip to office,Street,Paris area,228.8
31.0,F,56.99999999999999,Half-yearly,5.0,Cheap,P13,Regular,Private+trip to office,Street,Paris area,710.6
68.0,F,50.0,Half-yearly,6.0,Cheap,P9,Regular,Private+trip to office,Closed zbox,Headquarters,261.3
26.0,M,90.0,Annual,4.0,Cheap,P10,Regular,Private+trip to office,Closed zbox,Paris area,965.4
60.0,M,50.0,Annual,9.0,Cheap,P11,Regular,Private+trip to office,Closed zbox,Center,393.2
26.0,M,90.0,Half-yearly,6.0,Cheap,P12,Diesel,Private+trip to office,Closed collective parking,Center,419.2
32.0,F,60.0,Half-yearly,10.0,Medium,P14,Regular,Private+trip to office,Closed zbox,Center,375.6
30.0,F,60.0,Half-yearly,4.0,Cheap,P13,Regular,Private+trip to office,Street,Paris area,810.6
66.0,M,50.0,Annual,7.0,Medium low,P12,Regular,Private+trip to office,Opened collective parking,Center,341.8
26.0,F,56.99999999999999,Quarterly,11.0,Cheap,P9,Regular,Private+trip to office,Opened collective parking,Center,192.2
40.0,F,60.0,Annual,1.0,Medium,P13,Regular,Private+trip to office,Closed zbox,Center,669.8
28.0,M,76.0,Quarterly,3.0,Cheap,P12,Diesel,Private+trip to office,Closed zbox,Center,899.3
40.0,M,85.0,Half-yearly,11.0,Cheap,P11,Regular,Private+trip to office,Street,Paris area,513.7
25.0,F,76.0,Half-yearly,24.0,Cheap,P8,Regular,Private+trip to office,Opened collective parking,Center,190.3
76.0,M,50.0,Annual,2.0,Cheap,P12,Regular,Private+trip to office,Closed zbox,Headquarters,467.2
56.0,F,50.0,Half-yearly,2.0,Cheap,P10,Regular,Private+trip to office,Opened collective parking,Center,379.0
35.0,M,80.0,Half-yearly,16.0,Cheap,P8,Regular,Private+trip to office,Street,South West,298.1
28.0,F,68.0,Annual,5.0,Cheap,P12,Diesel,Private+trip to office,Street,Center,674.5
33.0,F,100.0,Half-yearly,7.0,Cheap,P8,Regular,Private+trip to office,Closed zbox,South West,417.0
30.0,F,72.0,Monthly,15.0,Cheap,P7,Regular,Private+trip to office,Street,Center,246.7
49.0,M,50.0,Half-yearly,7.0,Cheap,P12,Regular,Private+trip to office,Closed zbox,Center,310.4
51.0,F,55.00000000000001,Annual,8.0,Cheap,P9,Regular,Private+trip to office,Closed zbox,Paris area,206.3
29.0,M,60.0,Half-yearly,9.0,Cheap,P12,Diesel,Private+trip to office,Closed zbox,Paris area,303.9
26.0,M,85.0,Half-yearly,7.0,Cheap,P12,Regular,Private+trip to office,Opened collective parking,Center,687.7
31.0,M,80.0,Half-yearly,8.0,Cheap,P11,Regular,Private+trip to office,Closed collective parking,Paris area,579.7
30.0,M,64.0,Annual,1.0,Cheap,P10,Regular,Private+trip to office,Opened collective parking,Headquarters,584.0
48.0,M,50.0,Monthly,6.0,Cheap,P9,Regular,Private+trip to office,Closed zbox,South West,232.2
50.0,F,50.0,Half-yearly,1.0,Medium low,P13,Diesel,Private+trip to office,Closed zbox,Center,564.6
28.0,F,80.0,Half-yearly,5.0,Cheap,P9,Regular,Private+trip to office,Closed collective parking,South West,612.2
50.0,M,50.0,Half-yearly,6.0,Cheap,P12,Diesel,Private+trip to office,Closed zbox,Center,373.6
40.0,F,50.0,Quarterly,5.0,Cheap,P12,Regular,Private+trip to office,Opened collective parking,Headquarters,636.6
50.0,F,100.0,Half-yearly,11.0,Cheap,P10,Regular,Private+trip to office,Closed zbox,Center,444.4
24.0,M,90.0,Monthly,4.0,Cheap,P13,Diesel,Private+trip to office,Closed zbox,Center,1041.0
46.0,M,50.0,Half-yearly,7.0,Cheap,P12,Diesel,Private+trip to office,Closed zbox,South West,347.4
66.0,M,60.0,Half-yearly,6.0,Medium high,P14,Regular,Private+trip to office,Closed zbox,Headquarters,787.0
23.0,M,100.0,Half-yearly,8.0,Cheap,P9,Regular,Private+trip to office,Closed collective parking,Headquarters,556.7
33.0,M,54.0,Annual,8.0,Cheap,P9,Regular,Private+trip to office,Closed zbox,Center,196.7
26.0,M,80.0,Half-yearly,8.0,Cheap,P12,Diesel,Private+trip to office,Opened collective parking,Center,407.0
67.0,F,56.99999999999999,Annual,0.0,Cheap,P9,Regular,Private+trip to office,Closed collective parking,Center,267.7
63.0,M,50.0,Annual,10.0,Cheap,P8,Regular,Private+trip to office,Closed zbox,Center,118.3
42.0,M,50.0,Half-yearly,9.0,Cheap,P10,Regular,Private+trip to office,Opened collective parking,Center,184.5
33.0,M,64.0,Annual,5.0,Cheap,P12,Diesel,Private+trip to office,Closed collective parking,Headquarters,314.0
32.0,F,56.99999999999999,Annual,9.0,Cheap,P11,Diesel,Private+trip to office,Closed collective parking,Headquarters,196.1
29.0,F,60.0,Annual,3.0,Cheap,P13,Diesel,Private+trip to office,Opened collective parking,Center,595.8
41.0,M,54.0,Annual,8.0,Medium,P13,Diesel,Private+trip to office,Closed zbox,Headquarters,468.2
40.0,F,68.0,Half-yearly,17.0,Cheap,P9,Regular,Private+trip to office,Street,Headquarters,229.5
45.0,M,95.0,Quarterly,15.0,Cheap,P8,Regular,Private+trip to office,Street,Paris area,425.9
29.0,M,101.0,Monthly,12.0,Cheap,P13,Regular,Private+trip to office,Closed collective parking,Paris area,773.2
56.0,M,76.0,Monthly,8.0,Expensive,P16,Regular,Private+trip to office,Closed zbox,Paris area,1363.1
35.0,F,72.0,Half-yearly,9.0,Cheap,P13,Regular,Private+trip to office,Closed collective parking,Paris area,585.0
49.0,M,54.0,Half-yearly,16.0,Cheap,P11,Diesel,Private+trip to office,Closed collective parking,Paris area,234.7
31.0,F,68.0,Half-yearly,6.0,Cheap,P7,Regular,Private+trip to office,Opened collective parking,Headquarters,254.3
59.0,M,50.0,Annual,13.0,Medium low,P12,Diesel,Private+trip to office,Closed zbox,South West,256.4
51.0,M,50.0,Half-yearly,10.0,Cheap,P9,Regular,Private+trip to office,Closed collective parking,Center,193.7
27.0,M,85.0,Half-yearly,12.0,Cheap,P10,Regular,Private+trip to office,Opened collective parking,Paris area,454.6
22.0,F,95.0,Half-yearly,16.0,Cheap,P8,Regular,Private+trip to office,Street,Headquarters,396.7
40.0,M,55.00000000000001,Half-yearly,6.0,Medium,P14,Diesel,Private+trip to office,Closed zbox,Paris area,640.0
31.0,F,64.0,Half-yearly,8.0,Cheap,P10,Diesel,Private+trip to office,Street,Paris area,203.6
40.0,F,65.0,Half-yearly,6.0,Medium,P13,Regular,Private+trip to office,Closed zbox,Center,536.4
33.0,M,56.99999999999999,Quarterly,2.0,Cheap,P10,Regular,Private+trip to office,Opened collective parking,Center,360.4
27.0,M,100.0,Half-yearly,9.0,Cheap,P13,Regular,Private+trip to office,Opened collective parking,Center,595.7
68.0,F,50.0,Annual,2.0,Cheap,P9,Regular,Private+trip to office,Closed zbox,Center,268.7
41.0,M,50.0,Half-yearly,2.0,Medium high,P12,Diesel,Private+trip to office,Closed zbox,South West,450.6
38.0,M,53.0,Half-yearly,7.0,Cheap,P11,Regular,Private+trip to office,Opened collective parking,Paris area,512.4
54.0,M,50.0,Annual,3.0,Cheap,P9,Regular,Private+trip to office,Closed zbox,Center,220.0
29.0,F,100.0,Half-yearly,10.0,Cheap,P9,Regular,Private+trip to office,Closed collective parking,Paris area,710.8
29.0,F,56.99999999999999,Annual,9.0,Medium,P12,Regular,Private+trip to office,Closed zbox,South West,367.6
38.0,M,85.0,Half-yearly,2.0,Cheap,P12,Diesel,Private+trip to office,Closed zbox,Paris area,688.2
44.0,M,59.0,Half-yearly,4.0,Medium,P14,Regular,Private+trip to office,Closed collective parking,Paris area,1046.0
32.0,M,68.0,Annual,11.0,Cheap,P12,Regular,Private+trip to office,Closed zbox,Center,288.2
37.0,M,54.0,Annual,6.0,Medium low,P14,Regular,Private+trip to office,Closed zbox,Center,587.3
72.0,M,50.0,Annual,4.0,Cheap,P12,Diesel,Private+trip to office,Closed collective parking,South West,394.2
44.0,F,50.0,Annual,10.0,Cheap,P11,Regular,Private+trip to office,Closed zbox,Center,292.6
35.0,M,64.0,Half-yearly,12.0,Medium low,P12,Regular,Private+trip to office,Street,Paris area,414.1
54.0,M,50.0,Half-yearly,9.0,Cheap,P12,Regular,Private+trip to office,Closed collective parking,Center,231.1
27.0,M,80.0,Quarterly,7.0,Cheap,P9,Regular,Private+trip to office,Closed zbox,Center,303.9
31.0,F,60.0,Half-yearly,10.0,Cheap,P10,Regular,Private+trip to office,Closed zbox,South West,259.6
41.0,M,50.0,Annual,13.0,Cheap,P10,Regular,Private+trip to office,Closed zbox,Center,132.9
52.0,F,63.0,Half-yearly,10.0,Cheap,P10,Regular,Private+trip to office,Closed collective parking,Paris area,247.2
42.0,M,50.0,Annual,13.0,Cheap,P12,Regular,Private+trip to office,Closed zbox,Center,240.3
49.0,M,50.0,Annual,8.0,Medium low,P13,Diesel,Private+trip to office,Opened collective parking,Paris area,327.1
32.0,M,56.99999999999999,Half-yearly,6.0,Cheap,P11,Diesel,Private+trip to office,Opened collective parking,Headquarters,400.2
38.0,F,50.0,Half-yearly,7.0,Cheap,P12,Regular,Private+trip to office,Opened collective parking,Headquarters,396.0
27.0,F,65.0,Annual,10.0,Cheap,P10,Diesel,Private+trip to office,Closed zbox,South West,271.8
43.0,F,80.0,Annual,9.0,Medium,P13,Regular,Private+trip to office,Closed zbox,Center,339.4
37.0,F,50.0,Annual,7.0,Cheap,P10,Regular,Private+trip to office,Closed zbox,Center,209.0
45.0,F,50.0,Half-yearly,11.0,Cheap,P13,Regular,Private+trip to office,Closed zbox,Paris area,204.6
32.0,F,54.0,Annual,10.0,Cheap,P10,Regular,Private+trip to office,Closed zbox,Center,181.0
29.0,M,90.0,Half-yearly,20.0,Cheap,P9,Regular,Private+trip to office,Closed zbox,Center,311.6
45.0,F,50.0,Annual,5.0,Cheap,P11,Regular,Private+trip to office,Closed zbox,Center,241.0
30.0,M,64.0,Annual,15.0,Cheap,P8,Regular,Private+trip to office,Opened collective parking,Center,140.5
45.0,M,80.0,Half-yearly,4.0,Medium low,P15,Diesel,Private+trip to office,Closed zbox,Paris area,872.2
39.0,M,75.0,Half-yearly,5.0,Cheap,P11,Diesel,Private+trip to office,Opened collective parking,Headquarters,794.1
30.0,F,64.0,Half-yearly,8.0,Cheap,P8,Regular,Private+trip to office,Street,Center,379.9
29.0,F,106.0,Annual,10.0,Cheap,P8,Regular,Private+trip to office,Opened collective parking,Center,399.4
64.0,M,62.0,Half-yearly,8.0,Cheap,P12,Regular,Private+trip to office,Street,Center,226.3
72.0,M,50.0,Annual,9.0,Cheap,P9,Regular,Private+trip to office,Closed zbox,Center,154.4
33.0,M,64.0,Half-yearly,1.0,Cheap,P13,Diesel,Private+trip to office,Closed zbox,Paris area,514.6
30.0,M,112.0,Monthly,11.0,Cheap,P13,Regular,Private+trip to office,Closed collective parking,Center,990.0
58.0,M,64.0,Half-yearly,13.0,Cheap,P11,Regular,Private+trip to office,Closed zbox,South West,234.6
52.0,M,50.0,Annual,10.0,Cheap,P12,Regular,Private+trip to office,Closed zbox,South West,417.9
32.0,F,80.0,Half-yearly,14.0,Cheap,P8,Regular,Private+trip to office,Closed zbox,Center,203.1
52.0,F,50.0,Quarterly,4.0,Cheap,P10,Regular,Private+trip to office,Closed zbox,Center,345.1
26.0,F,85.0,Quarterly,0.0,Cheap,P8,Regular,Private+trip to office,Closed collective parking,Center,471.0
39.0,F,50.0,Half-yearly,2.0,Cheap,P9,Regular,Private+trip to office,Opened collective parking,Center,402.8
39.0,M,50.0,Annual,11.0,Cheap,P8,Regular,Private+trip to office,Closed collective parking,Center,171.4
52.0,F,50.0,Annual,11.0,Cheap,P11,Regular,Private+trip to office,Closed zbox,Center,195.5
38.0,F,50.0,Half-yearly,7.0,Cheap,P11,Regular,Private+trip to office,Opened collective parking,Center,380.8
23.0,M,80.0,Half-yearly,8.0,Cheap,P9,Regular,Private+trip to office,Closed zbox,Center,399.3
